Model,R2,MSE,Spearman
V2_NoAttn,0.8118972832617283,0.6664034128189087,0.8740953442764663
V3_Body2Cloth,0.8110625038906415,0.6693608164787292,0.8669778247621163
V4_Cloth2Body,0.8156498423978622,0.6531090140342712,0.8689063369034924
V1_Full(Ours=Benchmark),0.8258,0.6173,0.8793
