Embed_Dim,Num_Heads,Hidden_Dim,R2,MSE,Spearman
8,1,32,0.8250979136199461,0.6196367740631104,0.878606105482834
8,1,64,0.7963366145643593,0.7215312123298645,0.8784513908864556
8,1,128,0.8188680208054101,0.6417078375816345,0.8754787614270987
8,2,32,0.817500835019536,0.6465514302253723,0.8740829129056225
8,2,64,0.8234751062187065,0.6253859400749207,0.8735029982932263
8,2,128,0.8211066343008274,0.633776843547821,0.8768329560187809
8,4,32,0.8217575408510913,0.6314709186553955,0.8748033432500684
8,4,64,0.7966252055419829,0.7205087542533875,0.8754434704738503
8,4,128,0.7994149986515027,0.7106252908706665,0.8735256811262826
16,1,32,0.8160200889402582,0.6517972946166992,0.8778646419659178
16,1,64,0.8142482234515417,0.658074676990509,0.8697213281493805
16,1,128,0.8159929186514815,0.6518934965133667,0.8755656631901064
16,2,32,0.8198447314429441,0.6382474899291992,0.8703008892630797
16,2,64,0.8145647831010585,0.6569531559944153,0.8764370374781629
16,2,128,0.7939996010690932,0.7298107147216797,0.8666349899424949
16,4,32,0.8096970162284765,0.6741985082626343,0.8690446138104612
16,4,64,0.8151073709230741,0.6550309062004089,0.8734562775487753
16,4,128,0.7958908404057845,0.7231104373931885,0.8648210702953899
32,1,32,0.8163163731090656,0.6507477164268494,0.8685979682068266
32,1,64,0.8165136353667711,0.6500487923622131,0.8695137065813541
32,1,128,0.8029515450400735,0.6980960965156555,0.8730487524676067
32,2,32,0.8110574580136655,0.6693786978721619,0.8699422059185437
32,2,64,0.802721484554358,0.6989111304283142,0.8623015672491123
32,2,128,0.8104295485594805,0.671603262424469,0.8724572902311091
32,4,32,0.8080044499900105,0.6801948547363281,0.8673006869053583
32,4,64,0.8064220509317578,0.6858009696006775,0.877243485838874
32,4,128,0.7974419809214518,0.7176151871681213,0.8682701570818268
64,1,32,0.8110040432050671,0.6695680022239685,0.8691194966177714
64,1,64,0.8036365660182941,0.6956691741943359,0.8729912500128978
64,1,128,0.8162606779926468,0.6509449481964111,0.8755786837254452
64,2,32,0.8233238285211418,0.6259218454360962,0.8753051935668814
64,2,64,0.8088609333405936,0.6771605014801025,0.8705280710923391
64,2,128,0.8021578313747867,0.7009080052375793,0.866463130659313
64,4,32,0.808633718488323,0.6779654622077942,0.866184043438047
64,4,64,0.8027021751428938,0.6989795565605164,0.8683486337925564
64,4,128,0.8055317838051084,0.6889548897743225,0.8631546774378247
16,1,64,0.8258,0.6173,0.8793
