Model,R2,MSE,Spearman
Random Forest,0.8080021593256596,0.6802029473447543,0.8630843525847912
SVR,0.8094945602138519,0.6749157239093081,0.8724730209231246
MLP,0.8137507025864507,0.6598372459411621,0.875140875589235
1D-CNN,0.8146100532202846,0.6567927598953247,0.875582218712415
LSTM,0.8008035632928228,0.7057058811187744,0.8601827549758618
Ours(Benchmark),0.8258,0.6173,0.8793
